  #K-Path    Energy        Zn        Al         S
# NKPTS & NBANDS: 120  52
# Band-Index    1
    2.293  -12.0503     0.022     0.013     0.642
    2.316  -12.0401     0.022     0.013     0.642
    2.340  -12.0293     0.022     0.013     0.640
    2.363  -12.0178     0.022     0.013     0.642
    2.386  -12.0060     0.024     0.013     0.646
    2.410  -11.9938     0.024     0.013     0.644
    2.433  -11.9817     0.024     0.011     0.650
    2.456  -11.9697     0.024     0.011     0.646
    2.480  -11.9582     0.024     0.011     0.650
    2.503  -11.9476     0.024     0.012     0.650
    2.503  -11.9476     0.024     0.012     0.650
    2.520  -11.9518     0.024     0.011     0.650
    2.536  -11.9627     0.025     0.011     0.650
    2.553  -11.9777     0.025     0.012     0.646
    2.569  -11.9952     0.025     0.012     0.644
    2.586  -12.0142     0.026     0.012     0.643
    2.602  -12.0343     0.026     0.012     0.642
    2.619  -12.0552     0.027     0.012     0.638
    2.635  -12.0767     0.027     0.013     0.638
    2.652  -12.0986     0.027     0.013     0.635
    2.668  -12.1209     0.027     0.013     0.633
    2.685  -12.1434     0.028     0.012     0.630
